The mercury intrusion porosimetry analysis was performed on sample taken from Section 1248C-14H-3 between 84 and 86 cm (126.61 mbsf) in the section.  
The sample was taken as part of a request by Peter Flemings (Sample Request # 18735A).

Injection_pressure_psia  Mercury_saturation_fraction
1.13	0.000
2.12	0.000
2.39	0.000
2.69	0.000
3.00	0.000
3.37	0.000
3.80	0.000
4.31	0.000
4.83	0.000
5.46	0.000
6.14	0.000
6.93	0.000
7.85	0.000
8.84	0.000
9.98	0.000
11.3	0.000
12.7	0.000
14.4	0.000
16.3	0.000
18.4	0.000
20.8	0.000
23.5	0.000
26.6	0.000
30.5	0.000
34.6	0.000
38.8	0.000
43.6	0.000
49.4	0.000
55.7	0.000
62.8	0.000
70.9	0.000
80.1	0.000
92.1	0.000
102	0.000
116	0.000
132	0.000
149	0.000
169	0.002
190	0.004
216	0.007
243	0.010
276	0.015
314	0.022
355	0.036
399	0.065
449	0.115
508	0.181
574	0.258
649	0.333
736	0.411
831	0.478
940	0.539
1080	0.595
1210	0.637
1370	0.675
1550	0.707
1760	0.736
1970	0.759
2230	0.780
2520	0.799
2870	0.816
3230	0.831
3650	0.844
4180	0.857
4710	0.868
5290	0.878
5970	0.887
6750	0.897
7650	0.905
8660	0.912
9780	0.920
11100	0.926
12500	0.934
14200	0.940
16000	0.946
18100	0.951
20500	0.958
23100	0.963
26200	0.969
29600	0.975
33500	0.979
37800	0.984
42800	0.990
48400	0.995
54800	1.000
